Player,Round ID,Date,Course,Weather Difficulty,Course Difficulty,Tournament,Benchmark,Shot,Hole,Score,Starting Distance,Starting Location,Ending Distance,Ending Location,Penalty,Starting SG,Ending SG,Strokes Gained
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,5,3,14,2,Green,0,Green,No,1.03,0.00,0.03
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,4,15,480,Tee,192,Sand,No,4.42,3.61,-0.19
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,4,16,192,Sand,20,Rough,No,3.61,2.59,0.02
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,4,17,20,Rough,8,Green,No,2.59,1.49,0.10
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,4,18,8,Green,1,Green,No,1.49,1.01,-0.52
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,5,4,19,1,Green,0,Green,No,1.01,0.00,0.01
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,5,20,330,Tee,25,Fairway,No,3.93,2.47,0.46
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,5,21,25,Fairway,6,Green,No,2.47,1.32,0.15
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,5,22,6,Green,0,Green,No,1.32,0.00,0.32
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,6,23,550,Tee,260,Fairway,No,4.87,3.69,0.18
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,6,24,260,Fairway,45,Green,No,3.69,2.11,0.58
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,6,25,45,Green,6,Green,No,2.11,1.32,-0.21
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,6,26,6,Green,0,Green,No,1.32,0.00,0.32
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,7,27,400,Tee,120,Recovery,No,4.11,3.87,-0.76
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,7,28,120,Recovery,50,Fairway,No,3.87,2.68,0.19
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,7,29,50,Fairway,15,Green,No,2.68,1.79,-0.11
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,4,7,30,15,Green,2,Green,No,1.79,1.03,-0.24
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,5,7,31,2,Green,0,Green,No,1.03,0.00,0.03
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,8,32,230,Tee,35,Green,No,3.27,2.03,0.25
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,8,33,35,Green,5,Green,No,2.03,1.22,-0.19
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,3,8,34,5,Green,0,Green,No,1.22,0.00,0.22
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,1,9,35,450,Tee,160,Fairway,No,4.26,3.05,0.21
Joe,R1770606097458,2026-02-09,Gaston,Cold,Standard,Practice,College Golfer,2,9,36,160,Fairway,12,Rough,No,3.05,2.32,-0.27
